__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-09-15,US,United States,customer,Customer Service,TOTAL,86.72
HiringLabSectoralPosting,2020-09-16,US,United States,customer,Customer Service,TOTAL,86.79
HiringLabSectoralPosting,2020-09-17,US,United States,customer,Customer Service,TOTAL,86.92
HiringLabSectoralPosting,2020-09-18,US,United States,customer,Customer Service,TOTAL,86.99
HiringLabSectoralPosting,2020-09-19,US,United States,customer,Customer Service,TOTAL,86.93
HiringLabSectoralPosting,2020-09-20,US,United States,customer,Customer Service,TOTAL,87.17
HiringLabSectoralPosting,2020-09-21,US,United States,customer,Customer Service,TOTAL,87.42
HiringLabSectoralPosting,2020-09-22,US,United States,customer,Customer Service,TOTAL,87.77
HiringLabSectoralPosting,2020-09-23,US,United States,customer,Customer Service,TOTAL,88.05
HiringLabSectoralPosting,2020-09-24,US,United States,customer,Customer Service,TOTAL,88.23
HiringLabSectoralPosting,2020-09-25,US,United States,customer,Customer Service,TOTAL,88.27
HiringLabSectoralPosting,2020-09-26,US,United States,customer,Customer Service,TOTAL,88.34
HiringLabSectoralPosting,2020-09-27,US,United States,customer,Customer Service,TOTAL,88.3
HiringLabSectoralPosting,2020-09-28,US,United States,customer,Customer Service,TOTAL,88.4
HiringLabSectoralPosting,2020-09-29,US,United States,customer,Customer Service,TOTAL,88.34
HiringLabSectoralPosting,2020-09-30,US,United States,customer,Customer Service,TOTAL,88.42
HiringLabSectoralPosting,2020-10-01,US,United States,customer,Customer Service,TOTAL,88.43
HiringLabSectoralPosting,2020-10-02,US,United States,customer,Customer Service,TOTAL,88.51
HiringLabSectoralPosting,2020-10-03,US,United States,customer,Customer Service,TOTAL,88.67
HiringLabSectoralPosting,2020-10-04,US,United States,customer,Customer Service,TOTAL,88.88
HiringLabSectoralPosting,2020-10-05,US,United States,customer,Customer Service,TOTAL,88.94
HiringLabSectoralPosting,2020-10-06,US,United States,customer,Customer Service,TOTAL,88.98
HiringLabSectoralPosting,2020-10-07,US,United States,customer,Customer Service,TOTAL,88.96
HiringLabSectoralPosting,2020-10-08,US,United States,customer,Customer Service,TOTAL,89.06
HiringLabSectoralPosting,2020-10-09,US,United States,customer,Customer Service,TOTAL,89.08
HiringLabSectoralPosting,2020-10-10,US,United States,customer,Customer Service,TOTAL,89.28
HiringLabSectoralPosting,2020-10-11,US,United States,customer,Customer Service,TOTAL,89.42
HiringLabSectoralPosting,2020-10-12,US,United States,customer,Customer Service,TOTAL,89.48
HiringLabSectoralPosting,2020-10-13,US,United States,customer,Customer Service,TOTAL,89.6
HiringLabSectoralPosting,2020-10-14,US,United States,customer,Customer Service,TOTAL,89.7
HiringLabSectoralPosting,2020-10-15,US,United States,customer,Customer Service,TOTAL,89.89
HiringLabSectoralPosting,2020-10-16,US,United States,customer,Customer Service,TOTAL,89.95
HiringLabSectoralPosting,2020-10-17,US,United States,customer,Customer Service,TOTAL,89.68
HiringLabSectoralPosting,2020-10-18,US,United States,customer,Customer Service,TOTAL,89.71
HiringLabSectoralPosting,2020-10-19,US,United States,customer,Customer Service,TOTAL,89.95
HiringLabSectoralPosting,2020-10-20,US,United States,customer,Customer Service,TOTAL,90.17
HiringLabSectoralPosting,2020-10-21,US,United States,customer,Customer Service,TOTAL,90.46
HiringLabSectoralPosting,2020-10-22,US,United States,customer,Customer Service,TOTAL,90.66
HiringLabSectoralPosting,2020-10-23,US,United States,customer,Customer Service,TOTAL,90.95
HiringLabSectoralPosting,2020-10-24,US,United States,customer,Customer Service,TOTAL,91.42
HiringLabSectoralPosting,2020-10-25,US,United States,customer,Customer Service,TOTAL,91.56
HiringLabSectoralPosting,2020-10-26,US,United States,customer,Customer Service,TOTAL,91.69
HiringLabSectoralPosting,2020-10-27,US,United States,customer,Customer Service,TOTAL,91.83
HiringLabSectoralPosting,2020-10-28,US,United States,customer,Customer Service,TOTAL,91.89
HiringLabSectoralPosting,2020-10-29,US,United States,customer,Customer Service,TOTAL,91.92
HiringLabSectoralPosting,2020-10-30,US,United States,customer,Customer Service,TOTAL,91.96
HiringLabSectoralPosting,2020-10-31,US,United States,customer,Customer Service,TOTAL,91.94
HiringLabSectoralPosting,2020-11-01,US,United States,customer,Customer Service,TOTAL,91.96
HiringLabSectoralPosting,2020-11-02,US,United States,customer,Customer Service,TOTAL,91.97
HiringLabSectoralPosting,2020-11-03,US,United States,customer,Customer Service,TOTAL,92.07
HiringLabSectoralPosting,2020-11-04,US,United States,customer,Customer Service,TOTAL,92.13
HiringLabSectoralPosting,2020-11-05,US,United States,customer,Customer Service,TOTAL,92.18
HiringLabSectoralPosting,2020-11-06,US,United States,customer,Customer Service,TOTAL,92.24
HiringLabSectoralPosting,2020-11-07,US,United States,customer,Customer Service,TOTAL,92.36
HiringLabSectoralPosting,2020-11-08,US,United States,customer,Customer Service,TOTAL,92.5
HiringLabSectoralPosting,2020-11-09,US,United States,customer,Customer Service,TOTAL,92.54
HiringLabSectoralPosting,2020-11-10,US,United States,customer,Customer Service,TOTAL,92.56
HiringLabSectoralPosting,2020-11-11,US,United States,customer,Customer Service,TOTAL,92.6
HiringLabSectoralPosting,2020-11-12,US,United States,customer,Customer Service,TOTAL,92.58
HiringLabSectoralPosting,2020-11-13,US,United States,customer,Customer Service,TOTAL,92.63
HiringLabSectoralPosting,2020-11-14,US,United States,customer,Customer Service,TOTAL,92.34
HiringLabSectoralPosting,2020-11-15,US,United States,customer,Customer Service,TOTAL,92.33
HiringLabSectoralPosting,2020-11-16,US,United States,customer,Customer Service,TOTAL,92.44
HiringLabSectoralPosting,2020-11-17,US,United States,customer,Customer Service,TOTAL,92.44
HiringLabSectoralPosting,2020-11-18,US,United States,customer,Customer Service,TOTAL,92.49
HiringLabSectoralPosting,2020-11-19,US,United States,customer,Customer Service,TOTAL,92.52
HiringLabSectoralPosting,2020-11-20,US,United States,customer,Customer Service,TOTAL,92.54
HiringLabSectoralPosting,2020-11-21,US,United States,customer,Customer Service,TOTAL,92.87
HiringLabSectoralPosting,2020-11-22,US,United States,customer,Customer Service,TOTAL,92.98
HiringLabSectoralPosting,2020-11-23,US,United States,customer,Customer Service,TOTAL,93.04
HiringLabSectoralPosting,2020-11-24,US,United States,customer,Customer Service,TOTAL,93.1
HiringLabSectoralPosting,2020-11-25,US,United States,customer,Customer Service,TOTAL,93.1
HiringLabSectoralPosting,2020-11-26,US,United States,customer,Customer Service,TOTAL,93.17
HiringLabSectoralPosting,2020-11-27,US,United States,customer,Customer Service,TOTAL,93.21
HiringLabSectoralPosting,2020-11-28,US,United States,customer,Customer Service,TOTAL,93.2
HiringLabSectoralPosting,2020-11-29,US,United States,customer,Customer Service,TOTAL,93.05
HiringLabSectoralPosting,2020-11-30,US,United States,customer,Customer Service,TOTAL,92.87
HiringLabSectoralPosting,2020-12-01,US,United States,customer,Customer Service,TOTAL,92.71
HiringLabSectoralPosting,2020-12-02,US,United States,customer,Customer Service,TOTAL,92.63
HiringLabSectoralPosting,2020-12-03,US,United States,customer,Customer Service,TOTAL,92.77
HiringLabSectoralPosting,2020-12-04,US,United States,customer,Customer Service,TOTAL,92.86
HiringLabSectoralPosting,2020-12-05,US,United States,customer,Customer Service,TOTAL,92.97
HiringLabSectoralPosting,2020-12-06,US,United States,customer,Customer Service,TOTAL,93.04
HiringLabSectoralPosting,2020-12-07,US,United States,customer,Customer Service,TOTAL,93.13
HiringLabSectoralPosting,2020-12-08,US,United States,customer,Customer Service,TOTAL,93.18
HiringLabSectoralPosting,2020-12-09,US,United States,customer,Customer Service,TOTAL,93.16
HiringLabSectoralPosting,2020-12-10,US,United States,customer,Customer Service,TOTAL,92.97
HiringLabSectoralPosting,2020-12-11,US,United States,customer,Customer Service,TOTAL,92.8
